1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20
1 76 4 96 0 42 0 0 45 51 44 0 0 0 0 0 0 59 0 58
5 0 48 25 72 85 36 0 75 0 64 0 70 0 0 37 0 0 22 23
8 0 13 0 0 0 93 0 66 83 2 0 0 82 0 99 0 1 0 74
79 0 75 0 31 0 83 0 14 0 67 0 0 0 0 77 0 50 73 66
1 21 36 70 42 97 0 0 18 18 30 77 0 27 0 27 0 0 50 67
63 0 0 86 77 0 19 0 43 15 0 0 34 0 0 78 0 0 0 63
57 97 18 54 23 0 63 0 2 49 11 40 0 68 0 89 15 0 0 54
80 82 86 91 0 81 96 0 50 0 78 0 0 0 0 42 0 36 0 77
75 91 70 94 38 26 0 0 38 81 95 98 91 43 0 5 0 76 34 78
19 79 30 43 62 7 40 0 76 9 24 63 0 23 0 23 0 89 81 73
96 48 27 0 4 45 0 0 56 0 39 0 0 0 0 0 0 86 10 21
9 85 68 36 38 12 67 0 63 28 84 0 0 0 18 20 0 26 74 19
3 0 69 53 2 32 0 0 18 91 9 0 0 0 0 39 0 0 19 30
21 10 0 0 71 0 89 0 52 29 32 0 0 2 0 44 0 21 32 31
10 50 9 23 65 77 93 0 2 58 79 0 74 0 0 70 0 0 85 39
31 34 0 0 23 0 0 0 10 0 52 86 0 99 0 85 0 49 74 18
15 28 27 1 0 20 12 0 11 21 16 32 0 79 0 2 0 79 80 95
19 41 36 0 13 36 0 50 59 80 0 0 0 0 0 41 0 0 77 6
67 48 6 54 86 20 0 0 34 53 22 0 50 0 0 81 0 0 86 67
2 84 93 0 46 93 0 0 17 0 6 3 0 70 0 13 0 49 15 79
60 73 87 83 0 68 78 0 77 53 53 69 0 0 0 18 0 0 0 33
31 24 2 0 44 29 74 0 23 6 6 24 15 7 0 65 0 70 39 80
91 89 30 52 50 7 0 0 95 0 73 30 0 10 81 55 0 0 47 69
10 43 62 0 22 89 0 0 23 42 0 61 18 40 0 5 0 0 0 32
78 43 96 0 63 3 0 0 98 0 20 4 0 50 0 59 0 0 22 60
30 33 74 43 15 11 0 82 20 0 38 10 29 54 0 2 0 0 3 63
63 59 50 0 24 95 82 0 35 43 88 55 0 60 0 94 0 0 0 23
7 26 35 0 0 52 0 0 39 41 92 0 0 0 0 10 0 0 7 86
18 50 52 46 25 16 40 0 98 0 0 44 0 82 0 23 0 33 71 81
0 36 82 91 34 0 63 0 78 0 45 0 0 0 0 68 0 0 40 35
97 2 1 67 78 25 0 0 9 2 97 0 0 85 92 95 0 50 28 0
57 92 0 66 33 47 81 0 78 0 28 0 37 0 0 87 0 94 0 65
95 0 59 0 93 79 0 0 41 0 13 0 0 0 72 57 0 0 0 58
29 53 54 47 92 94 43 0 66 42 0 18 0 84 0 75 91 65 94 24
1 81 97 18 64 0 96 0 23 0 73 0 0 0 0 88 0 1 40 70
16 33 85 36 75 0 79 0 12 71 7 76 24 17 0 2 0 0 0 90
46 24 74 97 21 59 81 0 54 28 70 0 17 0 0 50 19 0 25 94
80 80 38 72 85 0 91 0 97 0 58 0 30 0 0 28 0 0 0 14
12 7 89 74 84 92 0 0 87 0 10 54 0 74 0 6 0 0 0 87
9 99 96 0 11 64 39 88 29 97 48 37 0 55 0 0 0 0 91 3
52 73 64 0 0 80 53 0 45 0 88 38 0 69 0 53 0 0 0 59
73 73 3 0 44 59 24 0 0 0 78 0 74 0 0 88 0 57 44 81
86 78 41 30 59 9 91 0 36 72 77 26 0 96 0 87 0 58 0 37
24 0 33 0 93 9 98 0 89 89 67 0 0 0 0 55 0 0 66 80
17 32 98 85 0 17 0 0 30 0 0 0 0 0 0 2 0 0 11 42
